CONVERSATION ID,CONVERSATION TITLE,FROM,SENDER PROFILE URL,TO,RECIPIENT PROFILE URLS,DATE,SUBJECT,CONTENT,FOLDER
2-Nzk1ZGQ3ZTYtZjExMi00ZDk1LWJkMDYtMDM0Njg4MTYwZWUxXzAxMw==,,Anjesh A,https://www.linkedin.com/in/garg123,RANJAN SAHU,https://www.linkedin.com/in/ranjan-sahu-738087227,2024-07-17 14:14:55 UTC,,Thanks for the Endorsement!,INBOX
2-Nzk1ZGQ3ZTYtZjExMi00ZDk1LWJkMDYtMDM0Njg4MTYwZWUxXzAxMw==,,RANJAN SAHU,https://www.linkedin.com/in/ranjan-sahu-738087227,Anjesh A,https://www.linkedin.com/in/garg123,2024-07-17 13:55:27 UTC,,RANJAN sent you a recommendation  Review Recommendation: https://www.linkedin.com/recs/received/?senderId=ranjan-sahu-738087227,INBOX
2-MzNjMGNkNjQtOTI5YS00ZmUyLWJjZTctM2UxNDVjMjE5ZTNkXzAxMw==,,RANJAN SAHU,https://www.linkedin.com/in/ranjan-sahu-738087227,Vishakha  Singh,https://www.linkedin.com/in/vishakha-singh-1574bb229,2024-07-17 09:46:44 UTC,,Okay sure .,INBOX
2-MzNjMGNkNjQtOTI5YS00ZmUyLWJjZTctM2UxNDVjMjE5ZTNkXzAxMw==,,Vishakha  Singh,https://www.linkedin.com/in/vishakha-singh-1574bb229,RANJAN SAHU,https://www.linkedin.com/in/ranjan-sahu-738087227,2024-07-17 09:46:16 UTC,,okay so at 11am I am scheduling your  meeting,INBOX
2-MzNjMGNkNjQtOTI5YS00ZmUyLWJjZTctM2UxNDVjMjE5ZTNkXzAxMw==,,RANJAN SAHU,https://www.linkedin.com/in/ranjan-sahu-738087227,Vishakha  Singh,https://www.linkedin.com/in/vishakha-singh-1574bb229,2024-07-17 09:45:58 UTC,,Yes,INBOX
2-MzNjMGNkNjQtOTI5YS00ZmUyLWJjZTctM2UxNDVjMjE5ZTNkXzAxMw==,,Vishakha  Singh,https://www.linkedin.com/in/vishakha-singh-1574bb229,RANJAN SAHU,https://www.linkedin.com/in/ranjan-sahu-738087227,2024-07-17 09:45:25 UTC,,will you available on saturday for an interview?,INBOX
2-MzNjMGNkNjQtOTI5YS00ZmUyLWJjZTctM2UxNDVjMjE5ZTNkXzAxMw==,,RANJAN SAHU,https://www.linkedin.com/in/ranjan-sahu-738087227,Vishakha  Singh,https://www.linkedin.com/in/vishakha-singh-1574bb229,2024-07-17 09:29:12 UTC,,You can call now,INBOX
2-MzNjMGNkNjQtOTI5YS00ZmUyLWJjZTctM2UxNDVjMjE5ZTNkXzAxMw==,,Vishakha  Singh,https://www.linkedin.com/in/vishakha-singh-1574bb229,RANJAN SAHU,https://www.linkedin.com/in/ranjan-sahu-738087227,2024-07-17 09:26:51 UTC,,caould you please me know your availability for the call?,INBOX
2-MzNjMGNkNjQtOTI5YS00ZmUyLWJjZTctM2UxNDVjMjE5ZTNkXzAxMw==,,Vishakha  Singh,https://www.linkedin.com/in/vishakha-singh-1574bb229,RANJAN SAHU,https://www.linkedin.com/in/ranjan-sahu-738087227,2024-07-17 09:26:40 UTC,,My team tried to contact you,INBOX
2-MzNjMGNkNjQtOTI5YS00ZmUyLWJjZTctM2UxNDVjMjE5ZTNkXzAxMw==,,RANJAN SAHU,https://www.linkedin.com/in/ranjan-sahu-738087227,Vishakha  Singh,https://www.linkedin.com/in/vishakha-singh-1574bb229,2024-07-17 09:25:32 UTC,,But I can relocate ,INBOX
