Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
"Agile Project Management with Jira Cloud: 1 Projects, Boards, and Issues","Get started with agile project management. Get an overview of agile and Jira, then practice creating and using project boards in both company-managed and team-managed versions of Jira Cloud. Learn how to create issues and subtasks, and explore techniques to make your logged issues more useful. Finally,  learn the value of the kanban method, and how to configure a kanban board.<br><br>Note: To check out other Atlassian University courses about Jira workflows, reporting, automation, and more, click <a href=""https://university.atlassian.com/student/catalog/list?category_ids=21560-jira-software?utm_source=linkedin-learning&utm_medium=comarketing&utm_campaign=P:uni-training*O:university*C:bio*I:linkedin-learning*"" target=""_blank"">here</a>.",Course,2024-01-27 15:17 UTC,N/A,false,N/A,
Unit Testing in Python,"<p>Unit testing—which involves testing small, isolatable pieces of code—can help you catch and fix bugs before they crop up in your final product. And by adopting test-driven development (TDD) and writing unit tests before production code, you can take even greater responsibility for your project's quality. Curious about how to best approach unit testing in your own Python projects? This course shows you how. Join instructor Jasmine Omeke as she goes over TDD techniques for Python projects using the pytest testing framework and a Docker container.</p><p>Jasmine begins by providing a basic overview of both TDD and pytest as she shows how to write a basic test. She then delves into how to use pytest features to automatically run unit tests, as well as how to best organize your pytest projects. Then, see how to hop into an existing project and use pytest tests to figure out the core behavior of the source code, determine which source code functions still need to be tested, and add in more tests.</p>",Course,2024-05-14 08:45 UTC,N/A,false,N/A,
Learning Python,"Python—the popular and highly-readable object-oriented language—is both powerful and relatively easy to learn. Whether you're new to programming or an experienced developer, this course can help you get started with Python. Joe Marini provides an overview of the installation process, basic Python syntax, and an example of how to construct and run a simple Python program. Learn to work with dates and times, read and write files, and retrieve and parse HTML, JSON, and XML data from the web.
<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p>",Course,2023-04-01 07:03 UTC,N/A,false,N/A,
Coding Exercises: React.js,"You think you know React, but how deep does your knowledge really go? In this installment of Code Challenges, instructor Ali Spittel provides several challenges to help you practice your React skills to see how much you’ve learned and how much you still need to know when working with this JavaScript library. Every challenge is self-contained and can be solved using React—no need for any other libraries—and you can jump around and complete them in any order you want. In each video, Ali provides her solution—one of several possible solutions—so you can compare to see how yours stacks up.",Course,2022-12-22 17:35 UTC,N/A,false,N/A,
What Is Generative AI?,"<p>Whether you work in film, marketing, healthcare, automobile, or real-estate, generative AI is changing the way your job is executed, and those who adapt early will reap its benefits sooner. All professions will be affected by generative AI. Its invention can be compared to the invention of photography, a true creative revolution. If you want to be part of the leaders that are advancing this revolution, this course can get you started on your learning journey.</p>

<p>In this course, generative AI expert Pinar Seyhan Demirdag covers the basics of generative AI, with topics including what it is, how it works, how to create your own content, different types of models, future predictions, and ethical implications.</p>",Course,2023-07-19 18:07 UTC,N/A,false,N/A,
Git Essential Training,"If you’ve ever wondered why someone should use Git or how to use it for version control, this is a great course to get started. Azure MVP and GitHub Star Barbara Forbes guides you through the installation process, the Git workflow, setting up and pushing code into a repo, and committing changes, all with a focus on version control and how Git can help you achieve it. Find out why people use Git. Learn how Git works, locally or through a provider, and how you can get it installed, configured, and running the way you need it to work. Follow the full process of pushing your code with Git, then explore ways to make changes to files. Discover important concepts in Git, like how to ignore files you don’t want to include, how branching can help you with development, what should be in a commit, and how to troubleshoot if you get into trouble. Plus, get current instruction on using GitHub Star and Microsoft MVP.",Course,2023-04-26 14:21 UTC,N/A,false,N/A,
Java Exception Handling,"As you build any application, you can’t just assume that everything will run as expected. There are so many things that could cause your applications to not function properly or even crash. This course aims to teach developers how to handle such unforeseen scenarios in applications. Join instructor Cecili Reid as she teaches you the different types of exceptions, how to handle exceptions, and how to test an application to ensure it handles exceptions as expected. Cecili uses a sample Spring Boot web app as a case study and walks through practical scenarios where you’d want to use exception handling in that application. She starts with an initial application that doesn’t have exception handling mechanisms, and as she walks through each concept, she shows you how to improve the application by applying the concepts taught in each chapter. Cecili also shares some best practices to follow when handling exceptions in your applications.",Course,2023-01-13 08:07 UTC,N/A,false,N/A,
Coding Exercises: SQL Data Science,"Want to test—and develop—your SQL data-engineering skills? Do you fancy yourself pretty skilled at SQL and want to see just how sharp you are? Then check out this installment of the <i>Code Challenges</i> series, as instructor Harshit Tyagi presents a number of challenges requiring you to write SQL queries to solve problems and answer questions. The challenges start at a relatively low level of difficulty—column selection, filtering rows from data, sorting and grouping query results—and get progressively tougher, testing you on topics like handling missing and invalid data, calculating moving window average, and data transformations. The challenges are all a few minutes long, and use a single database, so you can jump around from challenge to challenge or watch the entire course. So, if you want to see if you’re equal to the tasks, try out these SQL challenges.",Course,2023-10-28 05:24 UTC,N/A,false,N/A,
Managing Jira Projects: 3 Helpful Concepts and Features,"How does Jira automation work, and what other concepts, features, and configurations can you employ to use Jira more effectively? In this course—the third in the <i>Managing Jira Projects</i> series—discover the core elements of Jira automation and automate some of the work in your Jira project. Learn how to alter your kanban board. Then explore other concepts and features like shared configuration, running parallel sprints, and facilitating agile at scale. Find out how to create and configure next-gen projects, including controlling access, adding issues, and customizing project features.<br><br>Note: This course can help prepare you for the <i>Managing Jira Cloud Projects</i> certification exam. To learn more about how to earn your first Atlassian credential, click <a href=""https://university.atlassian.com/student/page/840992-acp-620-managing-jira-cloud-projects-certification?utm_source=linkedin-learning&utm_medium=comarketing&utm_campaign=P:uni-training*O:university*C:bio*I:linkedin-learning*"" target=""_blank"">here</a>. To check out other Atlassian University courses about Jira workflows, reporting, automation, and more, click <a href=""https://university.atlassian.com/student/catalog/list?category_ids=21560-jira-software?utm_source=linkedin-learning&utm_medium=comarketing&utm_campaign=P:uni-training*O:university*C:bio*I:linkedin-learning*"" target=""_blank"">here</a>.",Course,2024-02-16 18:31 UTC,N/A,false,N/A,
Agile Project Management with Jira Cloud: 3 Advanced Topics,"This third and final course in the <i>Agile Project Management with Jira Cloud</i> series covers advanced topics like how to use filters, identify and classify epics, and how to use dashboards. After you explore these new topics, see how to put it all together: review the Jira tools and workflows, and use them to create classic and next-gen kanban projects in Jira.",Course,2024-05-03 04:54 UTC,N/A,false,N/A,
Performance Management: Employee Engagement,"In this course, strategic HR expert and author Don Phin explains what employee engagement is, what engaged work and leadership look like, and how to bring these qualities to your organization. Don shares tested and proven techniques for how to attract, hire, and retain engaged employees. He explains how to keep that engagement growing through feedback, compensation, and other methods so that your most valuable people remain at your company. He also explains how you can measure and evaluate your engagement efforts. Finally, Don shares advice on how to engage with remote workers and navigate a hybrid work environment, as well as software and apps that can help improve employee engagement.",Course,2023-08-27 13:19 UTC,N/A,false,N/A,
